재난,발생시간,지점정보
호우주의보,,군산(140)
호우주의보,2020-07-12 18:00,기타
호우주의보,,순천(174)
호우주의보,2020-07-12 21:00,기타
호우주의보,,서산(129)
호우주의보,2020-07-12 20:00,기타
호우주의보,,청주(131)
호우주의보,2020-07-13 00:00,기타
호우주의보,,인천(112)
호우주의보,2020-07-13 04:30,기타
호우주의보,,제주(184)
호우주의보,2020-07-13 04:00,기타
호우주의보,,인천(112)
호우주의보,2020-07-13 07:30,기타
호우주의보,,문경(273)
호우주의보,2020-07-13 07:30,기타
호우주의보,,흑산도(169)
호우경보,2020-07-13 07:50,기타
호우경보,,산청(289)
호우주의보,2020-07-13 09:30,기타
호우주의보,,서산(129)
호우주의보,2020-07-13 11:00,기타
호우주의보,,상주(137)
호우주의보,2020-07-13 14:00,기타
호우주의보,,울산(152)
호우주의보,2020-07-13 17:00,기타
호우주의보,,부산(159)
호우주의보,2020-07-13 15:00,기타
호우주의보,,포항(138)
호우주의보,2020-07-14 04:00,기타
호우주의보,,인천(112)
호우주의보,2020-07-16 14:30,기타
호우주의보,,부산(159)
호우주의보,2020-07-16 17:00,기타
호우주의보,,부산(159)
호우주의보,2020-07-17 15:10,기타
호우주의보,,기타
호우주의보,2020-07-17 18:00,기타
호우주의보,,양평(202)
호우주의보,2020-07-17 18:30,기타
호우주의보,,기타
호우주의보,2020-07-17 19:30,기타
호우주의보,,양평(202)
호우주의보,2020-07-19 08:30,기타
호우주의보,,파주(99)
호우주의보,2020-07-19 09:00,기타
호우주의보,,동두천(98)
호우주의보,2020-07-19 09:30,기타
호우주의보,,철원(95)
호우주의보,2020-07-19 11:00,기타
호우주의보,,동두천(98)
호우주의보,2020-07-19 12:00,기타
호우주의보,,철원(95)
호우주의보,2020-07-20 00:00,기타
호우주의보,,파주(99)
호우주의보,2020-07-20 03:00,기타
호우주의보,,기타
호우주의보,2020-07-20 05:00,기타
호우주의보,,파주(99)
호우주의보,2020-07-20 07:20,기타
호우주의보,,전주(146)
호우주의보,2020-07-20 07:40,기타
호우주의보,,기타
호우주의보,2020-07-20 09:00,기타
호우주의보,,인천(112)
호우주의보,2020-07-22 02:00,기타
호우주의보,,기타
호우경보,2020-07-22 02:30,기타
호우경보,,합천(285)
호우주의보,2020-07-22 04:00,기타
호우주의보,,대구(143)
호우주의보,2020-07-22 04:20,기타
호우주의보,,창원(155)
호우주의보,2020-07-22 05:00,기타
호우주의보,,고흥(262)
호우주의보,2020-07-22 05:30,기타
호우주의보,,울산(152)
호우주의보,2020-07-22 07:00,기타
호우주의보,,수원(119)
호우주의보,2020-07-22 07:20,기타
호우주의보,,원주(114)
호우주의보,2020-07-22 08:20,기타
호우주의보,,기타
호우주의보,2020-07-22 09:00,기타
호우주의보,,철원(95)
호우주의보,2020-07-22 09:20,기타
호우주의보,,인천(112)
호우주의보,2020-07-22 10:00,기타
호우주의보,,원주(114)
호우주의보,2020-07-22 10:20,기타
호우주의보,,기타
호우주의보,2020-07-22 12:00,기타
호우주의보,,인천(112)
호우주의보,2020-07-23 09:00,기타
호우주의보,,군산(140)
호우주의보,2020-07-23 09:50,기타
호우주의보,,인천(112)
호우주의보,2020-07-23 11:10,기타
호우주의보,,여수(168)
호우주의보,2020-07-23 13:00,기타
호우주의보,,인천(112)
호우주의보,2020-07-23 14:00,기타
호우주의보,,창원(155)
호우주의보,2020-07-23 17:00,기타
호우주의보,,파주(99)
호우주의보,2020-07-23 18:00,기타
호우주의보,,동두천(98)
호우경보,2020-07-23 16:40,기타
호우경보,,인천(112)
호우주의보,2020-07-23 18:00,기타
호우주의보,,상주(137)
호우경보,2020-07-23 17:30,기타
호우경보,,인천(112)
호우주의보,2020-07-23 18:30,기타
호우주의보,,청주(131)
호우주의보,2020-07-23 19:30,기타
호우주의보,,임실(244)
호우주의보,2020-07-23 20:00,기타
호우주의보,,울산(152)
호우주의보,2020-07-23 20:30,기타
호우주의보,,제주(184)
호우경보,2020-07-23 20:50,기타
호우경보,,산청(289)
호우주의보,2020-07-23 21:00,기타
호우주의보,,동해(106)
호우주의보,2020-07-23 21:30,기타
호우주의보,,울산(152)
호우주의보,2020-07-23 22:00,기타
호우주의보,,속초(90)
호우주의보,2020-07-23 22:30,기타
호우주의보,,춘천(101)
호우주의보,2020-07-23 23:30,기타
호우주의보,,울진(130)
호우주의보,2020-07-24 00:00,기타
호우주의보,,동두천(98)
호우주의보,2020-07-24 01:00,기타
호우주의보,,기타
호우주의보,2020-07-24 02:00,기타
호우주의보,,동두천(98)
호우주의보,2020-07-24 02:30,기타
호우주의보,,울릉도(115)
호우경보,2020-07-24 05:00,기타
호우경보,,속초(90)
호우주의보,2020-07-24 09:30,기타
호우주의보,,동해(106)
호우주의보,2020-07-24 10:30,기타
호우주의보,,울릉도(115)
호우경보,2020-07-24 13:20,기타
호우경보,,강릉(105)
호우주의보,2020-07-24 17:00,기타
호우주의보,,부산(159)
호우주의보,2020-07-24 23:00,기타
호우주의보,,속초(90)
호우주의보,2020-07-25 09:10,기타
호우주의보,,강릉(105)
호우주의보,2020-07-25 13:10,기타
호우주의보,,속초(90)
호우주의보,2020-07-27 09:00,기타
호우주의보,,제주(184)
호우주의보,2020-07-27 16:00,기타
호우주의보,,창원(155)
호우주의보,2020-07-27 15:00,기타
호우주의보,,제주(184)
호우경보,2020-07-27 15:15,기타
호우경보,,제주(184)
호우주의보,2020-07-27 16:00,기타
호우주의보,,순천(174)
호우주의보,2020-07-27 16:20,기타
호우주의보,,울산(152)
호우주의보,2020-07-27 17:00,기타
호우주의보,,포항(138)
호우주의보,2020-07-27 18:00,기타
호우주의보,,완도(170)
호우주의보,2020-07-27 18:30,기타
호우주의보,,여수(168)
호우주의보,2020-07-27 21:00,기타
호우주의보,,포항(138)
호우주의보,2020-07-27 23:00,기타
호우주의보,,울산(152)
호우주의보,2020-07-28 03:30,기타
호우주의보,,여수(168)
호우주의보,2020-07-28 06:00,기타
호우주의보,,여수(168)
호우주의보,2020-07-28 15:30,기타
호우주의보,,남원(247)
호우주의보,2020-07-28 15:50,기타
호우주의보,,기타
호우주의보,2020-07-28 16:10,기타
호우주의보,,기타
호우주의보,2020-07-28 16:30,기타
호우주의보,,기타
호우주의보,2020-07-28 17:10,기타
호우주의보,,기타
호우주의보,2020-07-28 18:20,기타
호우주의보,,상주(137)
호우주의보,2020-07-28 18:50,기타
호우주의보,,흑산도(169)
호우주의보,2020-07-28 19:20,기타
호우주의보,,광주(156)
호우주의보,2020-07-28 19:50,기타
호우주의보,,대구(143)
호우주의보,2020-07-28 23:00,기타
호우주의보,,광주(156)
호우주의보,2020-07-29 00:00,기타
호우주의보,,대전(133)
호우주의보,2020-07-29 01:00,기타
호우주의보,,울릉도(115)
호우주의보,2020-07-29 03:30,기타
호우주의보,,서울(108)
호우주의보,2020-07-29 03:00,기타
호우주의보,,장수(248)
호우주의보,2020-07-29 03:30,기타
호우주의보,,부안(243)
호우주의보,2020-07-29 04:30,기타
호우주의보,,울릉도(115)
호우주의보,2020-07-29 05:00,기타
호우주의보,,영월(121)
호우주의보,2020-07-29 05:10,기타
호우주의보,,동두천(98)
호우주의보,2020-07-29 06:10,기타
호우주의보,,고창(172)
호우주의보,2020-07-29 06:30,기타
호우주의보,,춘천(101)
호우주의보,2020-07-29 06:50,기타
호우주의보,,임실(244)
호우주의보,2020-07-29 07:20,기타
