시도,구군,행정구역명,수계,지류,세부단위유역 ,중권역,소권역,총인구(명),총면적,하수처리구역 내 물리적처리 공공하수처리인구,하수처리구역 내 생물학적적처리 공공하수처리인구,하수처리구역 내 고도처리 공공하수처리인구,하수처리구역 내 물리적처리 폐수처리인구,하수처리구역 내 생물학적적처리 폐수처리인구,하수처리구역 내 고도처리 폐수처리인구,미접속인구,하수처리구역 내 면적,하수처리구역 외 미처리인구,하수처리구역 외 오수처리인구,하수처리구역 외 정화조인구,하수처리구역 외 면적,공공하수처리구역 인구보급률,고도처리인구 보급률,하수도설치율
대구광역시,북구,북구,낙동강,금호강,금호강,금호강,금호강중류 신천하류 금호강하류 팔거천 동화천,425441,93.947,0,0,424577,0,0,0,0,27.86,36,725,103,66.087,99.8,99.8,96.6
대구광역시,수성구,수성구,낙동강,금호강,금호강,금호강,동촌수위표 금호강중류 신천하류 남천,409035,76.536,0,0,407377,0,0,0,0,22.591,0,1658,0,53.945,99.6,99.6,94.1
대구광역시,달서구,달서구,낙동강,대명천  금호강,금호강,창녕합천보 금호강,진천천 금호강하류 고령교수위표,539175,62.371,0,0,539175,0,0,0,0,25.46,0,0,0,36.911,100.0,100.0,100.0
대구광역시,달성군,달성군,낙동강,차천,금호강,창녕합천보 강정고령보 금호강,현풍수위표 성주수위표 창녕합천보 차천 신천하류 신천상류 진천천 달창댐 금호강하류 고령교수위표 이언천 강정고령보 달성보,268757,428.362,0,0,248448,0,0,0,0,20.4,0,0,20309,407.962,92.4,92.4,83.0
대구광역시,군위군,군위군,낙동강,위천,낙동강중류,위천,미성교수위표 쌍계천합류전 병천교수위표 화북댐 남천 쌍계천하류,23515,614.335,0,0,11756,0,0,0,0,5.7,3064,3272,5423,608.635,50.0,50.0,50.0
인천광역시,중구,중구,한강,공촌천,한강본류,한강서해,공촌천 영종도,163728,140.38,0,0,150907,0,0,0,0,37.6,0,12434,387,102.78,92.2,92.2,73.4
인천광역시,동구,동구,한강,공촌천,한강본류,한강서해,공촌천,60438,7.247,0,0,60313,0,0,0,0,6.682,0,125,0,0.565,99.8,99.8,99.8
인천광역시,미추홀구,미추홀구,한강,공촌천,한강본류,한강서해,공촌천,417590,24.839,0,0,417590,0,0,0,0,21.867,0,0,0,2.972,100.0,100.0,100.0
인천광역시,연수구,연수구,한강,공촌천,한강본류,한강서해,공촌천,409234,56.191,0,0,407618,0,0,0,0,41.126,0,1568,48,15.065,99.6,99.6,98.0
인천광역시,남동구,남동구,한강,공촌천,한강본류,한강서해 한강고양,공촌천 굴포천 장수천,504601,57.453,0,0,500631,0,0,0,0,36.06,0,2367,1603,21.393,99.2,99.2,84.6
인천광역시,부평구,부평구,한강,굴포천,한강본류,한강서해 한강고양,공촌천 굴포천,509601,32.005,0,0,509601,0,0,0,0,22.281,0,0,0,9.724,100.0,100.0,91.5
인천광역시,계양구,계양구,한강,굴포천,한강본류,한강고양,아라천 계양천합류후 굴포천,283822,45.566,0,0,283822,0,0,0,0,11.83,0,0,0,33.736,100.0,100.0,100.0
인천광역시,서구,서구,한강,공촌천,한강본류,한강서해 한강고양,포내천 공촌천 아라천 계양천합류후 굴포천 영종도,638605,119.057,0,0,632914,0,0,0,0,59.301,0,5034,657,59.756,99.1,99.1,75.2
인천광역시,강화군,강화군,한강,지방2급동락천,한강본류,한강서해,삼흥천 강화도 삼동암천,70034,411.407,0,0,27431,0,0,0,0,6.985,0,18397,24206,404.422,39.2,39.2,24.8
인천광역시,옹진군,옹진군,한강,서해(해역방류),한강본류,한강서해,웅진군,20773,172.95,0,0,12628,0,0,0,0,7.594,0,6434,1711,165.356,60.8,60.8,34.9
광주광역시,동구,동구,영산강 섬진강,영산강,영산강상류,영산강상류,광주천,108893,49.317,0,0,108743,0,0,0,0,9.48,0,116,34,39.837,99.9,99.9,44.4
광주광역시,서구,서구,영산강 섬진강,영산강,영산강상류,영산강상류 죽산보 지석천,광주천 황룡강합류전 승촌보 광주수위표 지석천,286316,47.743,0,0,284401,0,0,0,0,24.14,0,1307,608,23.603,99.3,99.3,56.1
광주광역시,남구,남구,영산강 섬진강,영산강,영산강상류,영산강상류 죽산보 지석천,광주천 나주수위표 승촌보 지석천,211227,60.961,0,0,209095,0,0,0,0,14.79,0,202,1930,46.171,99.0,99.0,63.6
광주광역시,북구,북구,영산강 섬진강,영산강,영산강상류,영산강상류,광주천 증암천 광주수위표 광주댐,426867,120.261,0,0,422232,0,0,0,0,40.39,0,1570,3065,79.871,98.9,98.9,70.1
광주광역시,광산구,광산구,영산강 섬진강,황룡강,영산강상류 영산강하류,황룡강 영산강상류 고막원천 죽산보,황룡강합류전 평림천 나주수위표 승촌보 황룡강하류 고막원천하류 광주수위표,411282,222.69,0,0,405021,0,0,0,0,61.65,0,1258,5003,161.04,98.5,98.5,80.9
대전광역시,동구,동구,금강,대전천,금강하류 대청댐,갑천 대청댐,유등천하류 대전천 대청댐,223981,136.693,0,0,222541,0,0,0,0,18.8,0,1440,0,117.893,99.4,99.4,99.4
대전광역시,중구,중구,금강,대전천 유등천,금강하류,갑천,유등천하류 대전천 유등천상류,224849,62.192,0,0,223844,0,0,0,0,16.4,0,155,850,45.792,99.6,99.6,99.4
대전광역시,서구,서구,금강,갑천  유등천,금강하류,갑천,유성수위표 유등천하류 갑천상류 갑천하류,469624,95.542,0,0,466308,0,0,0,0,28.0,0,1713,1603,67.542,99.3,99.3,98.9
대전광역시,유성구,유성구,금강,갑천  신동천  삼성천  두계천  진잠천  유성천  관평천  안산천,금강하류,갑천 금강공주 대청댐하류,세종보 유성수위표 용수천 매포수위표 갑천상류 미호천합류전 갑천하류,374575,176.612,0,0,347901,0,0,5151,0,44.172,0,878,20645,132.44,94.3,94.3,94.3
대전광역시,대덕구,대덕구,금강,갑천  유등천,금강하류 대청댐,갑천 대청댐,대청댐조정지 유등천하류 대전천 대청댐 갑천하류,172571,68.739,0,0,168866,0,1300,0,0,61.92,0,1973,432,6.819,98.6,97.9,95.1
울산광역시,중구,중구,낙동강,태화강  동천,동해남부,태화강,태화강 동천 삼호수위표,210393,37.004,0,0,210008,0,0,0,0,37.004,0,338,47,0.0,99.8,99.8,99.5
울산광역시,남구,남구,낙동강,태화강  회야강  청량천,동해남부,태화강 회야강,청량천 태화강 삼호수위표,311574,74.02,0,0,311082,0,0,0,0,55.98,0,150,342,18.04,99.8,99.8,99.8
울산광역시,동구,동구,낙동강,제기천  운곡천,동해남부,대종천,수렴천,159664,36.075,0,0,159510,0,0,0,0,36.027,0,55,99,0.048,99.9,99.9,84.6
울산광역시,북구,북구,낙동강,태화강  동천  신명천  매곡천,동해남부,대종천 태화강,수렴천 태화강 동천,219075,157.352,0,0,217521,0,0,0,0,157.352,0,335,1219,0.0,99.3,99.3,87.5
