시도,행정구역명,총인구(명),총면적,하수도설치율,공공하수처리구역 인구보급률,고도처리인구 보급률,인구밀도
강원특별자치도,기린면,5035,277.18,67.2,75.3,75.3,18.16509127642687
강원특별자치도,서화면,2965,263.664,79.7,87.4,87.4,11.24537289884095
강원특별자치도,상남면,2051,197.21,83.1,85.1,85.1,10.400081131788449
강원특별자치도,간성읍,7366,180.372,88.4,88.4,86.2,40.83782405251369
강원특별자치도,거진읍,6200,76.771,82.5,95.4,94.4,80.75966185148037
강원특별자치도,현내면,2339,90.967,77.4,98.2,87.5,25.712621060384535
강원특별자치도,죽왕면,3537,50.187,66.2,86.5,80.3,70.47641819594716
강원특별자치도,토성면,9675,120.557,53.0,84.2,80.6,80.25249467057077
강원특별자치도,수동면,0,141.913,0.0,0.0,0.0,0.0
강원특별자치도,양양읍,12848,32.232,97.4,97.4,92.7,398.61007694216926
강원특별자치도,서면,2740,268.575,73.1,73.1,61.1,10.201991994787305
강원특별자치도,손양면,2280,47.305,82.9,82.9,69.4,48.19786491914174
강원특별자치도,현북면,2548,164.579,77.7,77.7,66.3,15.481926612751323
강원특별자치도,현남면,3103,64.304,84.5,84.5,83.3,48.25516297586464
강원특별자치도,강현면,4557,52.782,86.6,86.6,78.9,86.33625099465728
충청북도,낭성면,2120,59.467,16.1,21.3,21.3,35.65002438327139
충청북도,미원면,4759,129.545,40.7,56.5,46.8,36.73626925006755
충청북도,가덕면,3807,49.786,65.8,82.0,82.0,76.46727995822118
충청북도,남일면,6586,35.166,31.2,31.6,31.6,187.28317124495254
충청북도,문의면,3707,93.287,69.0,89.4,85.5,39.737584014921694
충청북도,중앙동,6739,1.782,97.4,100.0,100.0,3781.705948372615
충청북도,성안동,6596,1.157,74.7,100.0,100.0,5700.9507346586
충청북도,탑대성동,11491,0.779,93.1,100.0,100.0,14750.962772785622
충청북도,영운동,10292,0.807,86.5,100.0,100.0,12753.407682775713
충청북도,금천동,29898,1.478,78.2,100.0,100.0,20228.68741542625
충청북도,용담·명암·산성동,12948,8.537,92.2,97.7,97.7,1516.6920463863182
충청북도,용암1동,58506,8.666,88.2,99.6,99.6,6751.211631663974
충청북도,용암2동,44718,13.833,73.0,99.7,99.7,3232.7044025157234
충청북도,남이면,10177,56.58,57.4,57.4,57.4,179.86921173559563
충청북도,현도면,3332,43.566,0.9,4.0,4.0,76.48166001009962
충청북도,사직1동,4438,1.34,77.2,100.0,100.0,3311.9402985074626
충청북도,사직2동,12819,0.879,77.8,100.0,100.0,14583.617747440274
충청북도,사창동,15877,1.043,79.6,100.0,100.0,15222.435282837969
충청북도,모충동,17400,1.591,83.1,100.0,100.0,10936.5179132621
충청북도,산남동,25712,1.841,87.2,99.5,99.5,13966.322650733297
충청북도,분평동,28931,7.792,56.8,97.9,97.9,3712.9106776180697
충청북도,수곡1동,13002,1.41,84.6,100.0,100.0,9221.27659574468
충청북도,수곡2동,15308,0.498,100.0,100.0,100.0,30738.955823293174
충청북도,성화·개신·죽림동,43248,6.134,75.0,99.7,99.7,7050.53798500163
충청북도,오송읍,31952,40.751,72.8,80.5,80.5,784.0789183087533
충청북도,강내면,10941,30.191,77.1,93.6,92.7,362.39276605610945
충청북도,옥산면,18012,66.226,73.4,91.3,91.3,271.9777730800592
충청북도,운천·신봉동,14733,2.121,85.4,100.0,100.0,6946.251768033946
충청북도,복대1동,50667,2.741,81.9,100.0,100.0,18484.859540313755
충청북도,복대2동,16687,1.145,82.6,100.0,100.0,14573.799126637554
충청북도,가경동,54943,3.339,68.6,98.7,98.7,16454.926624737946
충청북도,봉명1동,10191,0.78,96.8,100.0,100.0,13065.384615384615
충청북도,봉명2·송정동,24507,4.575,100.0,100.0,100.0,5356.7213114754095
충청북도,강서1동,31302,30.344,57.4,88.5,88.5,1031.571315581334
충청북도,강서2동,16612,16.875,54.5,82.0,82.0,984.4148148148148
충청북도,내수읍,20338,55.407,82.3,82.3,80.3,367.06553323587275
충청북도,오창읍,68932,80.216,90.5,96.5,96.3,859.3298095143115
충청북도,북이면,4818,47.428,13.3,31.9,31.9,101.58556127182256
충청북도,우암동,12466,1.75,96.9,100.0,100.0,7123.428571428572
충청북도,내덕1동,8180,1.47,99.2,100.0,100.0,5564.625850340136
충청북도,내덕2동,14385,1.343,99.0,100.0,100.0,10711.094564408042
충청북도,율량·사천동,48580,8.57,81.3,99.7,99.7,5668.611435239206
충청북도,오근장동,17953,18.818,29.1,77.7,77.7,954.033372303114
충청북도,주덕읍,5458,48.259,90.0,90.5,90.5,113.09807497047183
충청북도,살미면,2029,91.133,55.6,62.7,62.7,22.264163365630452
충청북도,수안보면,2868,73.373,89.3,91.8,0.0,39.08794788273615
충청북도,대소원면,10517,62.359,84.0,84.0,84.0,168.65247999486843
충청북도,신니면,3073,59.787,29.2,49.2,49.2,51.39913359091442
충청북도,노은면,2284,61.814,8.8,21.5,21.5,36.949558352476785
충청북도,앙성면,3981,100.298,63.6,79.3,79.3,39.69171867833855
충청북도,중앙탑면,14832,47.74,82.8,94.6,94.6,310.6828655215752
충청북도,금가면,3987,33.724,46.3,47.0,47.0,118.22440991578699
충청북도,동량면,3544,109.408,39.7,59.3,59.3,32.39251243053524
충청북도,산척면,2232,78.367,73.9,73.9,73.9,28.481376089425396
충청북도,엄정면,3072,56.485,41.0,41.0,41.0,54.38612020890502
충청북도,소태면,1941,63.019,28.3,39.0,39.0,30.8002348498072
충청북도,성내·충인동,2577,0.505,100.0,100.0,100.0,5102.970297029703
충청북도,교현·안림동,22822,27.693,98.7,98.7,98.7,824.1071750984003
충청북도,교현2동,6623,0.9,0.0,100.0,100.0,7358.888888888889
충청북도,용산동,14377,1.551,100.0,100.0,100.0,9269.503546099291
충청북도,지현동,5067,0.554,100.0,100.0,100.0,9146.209386281587
충청북도,문화동,9167,1.024,100.0,100.0,100.0,8952.1484375
충청북도,호암·직동,22293,14.406,97.6,97.6,97.6,1547.4802165764265
충청북도,달천동,4595,22.809,75.3,92.5,92.5,201.45556578543557
충청북도,봉방동,9144,3.64,100.0,100.0,100.0,2512.087912087912
충청북도,칠금·금릉동,14186,5.796,99.9,99.9,99.9,2447.550034506556
충청북도,연수동,35890,5.078,99.7,99.7,99.7,7067.743205986609
충청북도,목행용탄동,6868,13.535,97.4,97.4,97.4,507.4251939416328
충청북도,봉양읍,6831,144.391,57.1,77.0,75.9,47.309042807377196
충청북도,금성면,1943,68.571,87.4,87.4,72.7,28.335593764127694
충청북도,청풍면,1394,91.738,68.7,68.7,61.5,15.195447905993154
충청북도,수산면,2266,88.888,68.9,68.9,66.9,25.492754927549274
충청북도,덕산면,2281,111.532,46.3,81.0,78.7,20.45152960585303
충청북도,한수면,821,75.252,80.0,80.0,76.4,10.910009036304684
충청북도,백운면,3468,135.001,68.7,68.7,68.3,25.688698602232574
충청북도,송학면,4902,72.738,76.6,88.4,86.4,67.39255959745938
충청북도,교동,18099,3.64,81.1,99.5,99.2,4972.252747252747
충청북도,의림지동,10082,11.752,88.8,99.5,99.1,857.8965282505105
충청북도,중앙동,5725,1.91,88.1,100.0,99.2,2997.3821989528797
충청북도,남현동,4795,1.74,79.0,100.0,99.1,2755.7471264367814
