시도명,시군구명,읍면동명,행정동코드,사회취약지수
서울특별시,금천구,시흥1동,1154567000,36.33787568088687
서울특별시,금천구,시흥2동,1154568000,38.448672220562194
서울특별시,금천구,시흥3동,1154569000,37.03939522252003
서울특별시,금천구,시흥4동,1154570000,39.143680597756656
서울특별시,금천구,시흥5동,1154571000,41.70994032775431
서울특별시,영등포구,여의동,1156054000,34.7725419110953
서울특별시,영등포구,당산1동,1156055000,22.061755572115704
서울특별시,영등포구,당산2동,1156056000,18.813010302623578
서울특별시,영등포구,양평1동,1156061000,18.701703685424192
서울특별시,영등포구,양평2동,1156062000,17.71444535390798
서울특별시,영등포구,신길1동,1156063000,29.05109088563438
서울특별시,영등포구,신길3동,1156065000,38.39241706137789
서울특별시,영등포구,신길4동,1156066000,38.46982677424411
서울특별시,영등포구,신길5동,1156067000,43.7554027457786
서울특별시,영등포구,신길6동,1156068000,31.45265684272049
서울특별시,영등포구,신길7동,1156069000,28.917914179624464
서울특별시,영등포구,대림1동,1156070000,47.26875675627059
서울특별시,영등포구,대림2동,1156071000,56.12929919816161
서울특별시,영등포구,대림3동,1156072000,44.61446588835016
서울특별시,영등포구,영등포본동,1156051500,39.42441606715968
서울특별시,영등포구,영등포동,1156053500,7.159734329380784
서울특별시,영등포구,도림동,1156058500,35.635853988878694
서울특별시,영등포구,문래동,1156060500,31.623727419343396
서울특별시,동작구,노량진2동,1159052000,29.45473019073765
서울특별시,동작구,상도1동,1159053000,23.131121146344515
서울특별시,동작구,상도2동,1159054000,28.13292519572424
서울특별시,동작구,상도3동,1159055000,27.784691294323782
서울특별시,동작구,상도4동,1159056000,27.39388504422363
서울특별시,동작구,사당1동,1159062000,19.766771213377908
서울특별시,동작구,사당3동,1159064000,34.70865155748476
서울특별시,동작구,사당4동,1159065000,28.85621199413108
서울특별시,동작구,사당5동,1159065100,26.68441920937295
서울특별시,동작구,대방동,1159066000,22.91997602046617
서울특별시,동작구,신대방1동,1159067000,36.404280445826195
서울특별시,동작구,신대방2동,1159068000,25.833541271426842
서울특별시,동작구,흑석동,1159060500,26.63974941925737
서울특별시,동작구,노량진1동,1159051000,26.54867782601706
서울특별시,동작구,사당2동,1159063000,34.831158528813205
서울특별시,관악구,보라매동,1162052500,29.042134940659555
서울특별시,관악구,청림동,1162054500,34.29230288720945
서울특별시,관악구,행운동,1162057500,16.240158295566406
서울특별시,관악구,낙성대동,1162058500,5.012607890518615
서울특별시,관악구,중앙동,1162061500,15.834373427953436
서울특별시,관악구,인헌동,1162062500,18.919745670991883
서울특별시,관악구,남현동,1162063000,21.353771396574945
서울특별시,관악구,서원동,1162064500,14.55669638120147
서울특별시,관악구,신원동,1162065500,25.20587376208016
서울특별시,관악구,서림동,1162066500,17.929777590922477
서울특별시,관악구,신사동,1162068500,25.292050829779487
서울특별시,관악구,신림동,1162069500,0.0
서울특별시,관악구,난향동,1162071500,34.701933915749336
서울특별시,관악구,조원동,1162072500,23.43665611837831
서울특별시,관악구,대학동,1162073500,13.362102579428479
서울특별시,관악구,은천동,1162060500,29.522618750123613
서울특별시,관악구,성현동,1162056500,34.15588968214651
서울특별시,관악구,청룡동,1162059500,12.715125439085165
서울특별시,관악구,난곡동,1162077500,33.47214536861799
서울특별시,관악구,삼성동,1162074500,44.92173360212248
서울특별시,관악구,미성동,1162076500,34.053109129642266
서울특별시,서초구,서초1동,1165051000,24.465270247317438
서울특별시,서초구,서초2동,1165052000,22.682189204277673
서울특별시,서초구,서초3동,1165053000,21.99153763707127
서울특별시,서초구,서초4동,1165053100,30.923384433469263
서울특별시,서초구,잠원동,1165054000,24.361893643428935
서울특별시,서초구,반포본동,1165055000,25.722715044847007
서울특별시,서초구,반포1동,1165056000,26.233516061149302
서울특별시,서초구,반포2동,1165057000,33.68082037302989
서울특별시,서초구,반포3동,1165058000,28.150088508097383
서울특별시,서초구,반포4동,1165058100,34.500294656684765
서울특별시,서초구,방배본동,1165059000,28.886501973031674
서울특별시,서초구,방배1동,1165060000,30.3012261234353
서울특별시,서초구,방배2동,1165061000,33.4848188274309
서울특별시,서초구,방배3동,1165062000,35.114699948226246
서울특별시,서초구,방배4동,1165062100,27.556886187300016
서울특별시,서초구,양재1동,1165065100,33.59308776015578
서울특별시,서초구,양재2동,1165065200,19.8975165359847
서울특별시,서초구,내곡동,1165066000,40.704671736690685
서울특별시,강남구,신사동,1168051000,34.684594119000586
서울특별시,강남구,개포3동,1168067500,38.002851700598356
서울특별시,강남구,논현1동,1168052100,13.402944280671427
서울특별시,강남구,논현2동,1168053100,20.31693469118468
서울특별시,강남구,삼성1동,1168058000,30.89126012288283
서울특별시,강남구,삼성2동,1168059000,22.10353951606394
서울특별시,강남구,대치1동,1168060000,29.827387008662832
서울특별시,강남구,대치4동,1168063000,12.443364182305851
서울특별시,강남구,역삼1동,1168064000,6.455618037813575
서울특별시,강남구,역삼2동,1168065000,20.046446652667566
서울특별시,강남구,도곡1동,1168065500,29.304614548833076
서울특별시,강남구,도곡2동,1168065600,34.32786068989593
서울특별시,강남구,개포1동,1168066000,34.389609402607825
서울특별시,강남구,개포4동,1168069000,26.337289173916652
서울특별시,강남구,일원본동,1168072000,33.140644247350714
서울특별시,강남구,일원1동,1168073000,36.96106855731512
서울특별시,강남구,수서동,1168075000,59.83288005004336
서울특별시,강남구,세곡동,1168070000,31.56886382429704
서울특별시,강남구,압구정동,1168054500,41.04110603504876
서울특별시,강남구,청담동,1168056500,27.878678495931673
서울특별시,강남구,대치2동,1168061000,30.420784839396457
서울특별시,강남구,개포2동,1168067000,26.45936101879719
서울특별시,송파구,풍납1동,1171051000,41.285793619239286
서울특별시,송파구,풍납2동,1171052000,30.433619079390706
서울특별시,송파구,거여1동,1171053100,32.7633506123894
서울특별시,송파구,거여2동,1171053200,34.27761960728454
서울특별시,송파구,마천1동,1171054000,39.181433505207615
서울특별시,송파구,마천2동,1171055000,39.94070430223437
서울특별시,송파구,방이1동,1171056100,27.73101107321266
서울특별시,송파구,방이2동,1171056200,14.350433180975418
서울특별시,송파구,오륜동,1171056600,34.060870757534516
서울특별시,송파구,오금동,1171057000,31.729409534155796
서울특별시,송파구,송파1동,1171058000,19.065539422426358
서울특별시,송파구,송파2동,1171059000,30.303148437616883
서울특별시,송파구,석촌동,1171060000,20.31767271220158
서울특별시,송파구,삼전동,1171061000,18.230377251999773
서울특별시,송파구,가락본동,1171062000,25.664480594133643
서울특별시,송파구,가락1동,1171063100,33.634889148676436
서울특별시,송파구,가락2동,1171063200,27.073193050294293
서울특별시,송파구,문정1동,1171064100,25.816405011352593
서울특별시,송파구,문정2동,1171064200,19.158631642612303
서울특별시,송파구,잠실본동,1171065000,16.80740121152226
서울특별시,송파구,잠실4동,1171069000,35.94529564407515
서울특별시,송파구,잠실6동,1171071000,38.491949671336734
서울특별시,송파구,잠실7동,1171072000,43.526569579066845
서울특별시,송파구,잠실2동,1171067000,29.129305674730908
서울특별시,송파구,잠실3동,1171068000,37.37585737919994
