시도,행정구역명,총인구(명),총면적,하수도설치율,공공하수처리구역 인구보급률,고도처리인구 보급률,인구밀도,인구밀도_정규화,하수도_인프라_지수,인프라_등급
충청남도,충화면,1098,37.347,62.9,68.1,55.5,29.3999518033577,0.06377147580188257,50.412754295160376,낮음
충청남도,양화면,1657,32.745,24.8,35.7,24.7,50.60314551839976,0.1097633523860818,23.111952670477216,매우 낮음
충청남도,임천면,2801,43.127,32.9,35.0,35.0,64.94771256985183,0.14087817246227266,27.398175634492453,매우 낮음
충청남도,장암면,2682,47.682,45.0,48.7,48.7,56.247640619101546,0.12200683445489047,37.87440136689098,매우 낮음
충청남도,세도면,3046,43.237,44.1,61.0,61.0,70.44892106297847,0.1528108513539595,43.760562170270795,낮음
충청남도,석성면,2928,30.533,60.5,76.0,70.8,95.89624340877084,0.20800867317528868,55.15160173463506,낮음
충청남도,초촌면,2078,27.329,41.7,48.2,48.2,76.03644480222474,0.16493075676445382,36.64298615135289,매우 낮음
충청남도,장항읍,11077,18.814,95.2,96.6,96.6,588.7636866163496,1.2770881205932327,77.11541762411863,보통
충청남도,서천읍,13102,28.8,80.1,98.0,98.0,454.93055555555554,0.9867904923515812,73.22735809847032,보통
충청남도,마서면,4732,40.294,4.4,12.7,12.7,117.4368392316474,0.25473240913460476,7.720946481826921,매우 낮음
충청남도,화양면,2259,34.99,20.0,37.5,37.5,64.56130322949414,0.14004001143183767,24.778008002286366,매우 낮음
충청남도,기산면,1670,20.98,29.8,35.3,35.3,79.59961868446139,0.17265964212211635,26.62453192842442,매우 낮음
충청남도,한산면,2522,24.091,57.9,66.5,66.5,104.6863974098211,0.22707540828159511,50.665415081656306,낮음
충청남도,마산면,1549,26.48,0.0,0.0,0.0,58.49697885196375,0.12688587710253316,0.02537717542050663,매우 낮음
충청남도,시초면,1347,18.39,0.0,0.0,0.0,73.2463295269168,0.15887871389193992,0.03177574277838798,매우 낮음
충청남도,문산면,1343,28.19,0.0,0.0,0.0,47.64100744945016,0.10333817463581486,0.020667634927162976,매우 낮음
충청남도,판교면,2110,40.19,26.1,39.0,39.0,52.5006220452849,0.11387917132443381,27.35277583426489,매우 낮음
충청남도,종천면,2149,26.06,0.0,0.0,0.0,82.46354566385266,0.17887179006324835,0.03577435801264967,매우 낮음
충청남도,비인면,2977,32.935,39.2,53.0,53.0,90.390162441172,0.19606542539253774,38.299213085078506,매우 낮음
충청남도,서면,4249,25.91,27.7,45.3,45.3,163.99073716711695,0.35571253303181627,31.031142506606365,매우 낮음
충청남도,청양읍,10213,36.197,91.2,96.8,96.8,282.1504544575517,0.6120129379557341,75.88240258759114,보통
충청남도,운곡면,2161,47.021,12.8,28.3,28.3,45.95818889432381,0.09968797059857754,18.009937594119716,매우 낮음
충청남도,대치면,2250,74.425,26.2,26.2,16.2,30.231776956667787,0.06557578888343167,18.973115157776686,매우 낮음
충청남도,정산면,3685,62.14,57.7,58.9,57.5,59.30157708400386,0.12863113223179234,46.505726226446356,낮음
충청남도,목면,1494,34.599,35.8,35.8,35.8,43.18043874100408,0.09366274892913679,28.658732549785825,매우 낮음
충청남도,청남면,1885,34.959,25.0,34.4,15.3,53.92030664492691,0.11695861113773433,20.90339172222755,매우 낮음
충청남도,장평면,2321,50.505,33.7,36.8,28.4,45.95584595584595,0.09968288852751003,26.8499365777055,매우 낮음
충청남도,남양면,2698,58.984,13.9,13.9,13.9,45.741217957412175,0.09921733864157577,11.139843467728316,매우 낮음
충청남도,화성면,2168,42.405,25.0,25.6,25.6,51.12604645678576,0.1108975775291059,20.322179515505823,매우 낮음
충청남도,비봉면,2165,38.016,48.7,59.0,33.2,56.94970538720539,0.12352968410682001,38.974705936821366,매우 낮음
충청남도,홍성읍,36664,29.69,95.8,97.7,97.7,1234.8939036712698,2.678610061084206,78.12572201221684,보통
충청남도,광천읍,8728,35.237,58.1,70.8,70.8,247.69418508953652,0.5372737967856259,52.937454759357124,낮음
충청남도,홍북읍,31882,44.833,56.9,91.8,91.8,711.1279637766823,1.542508642100816,63.27850172842016,보통
충청남도,금마면,3342,34.235,1.8,5.9,5.9,97.6193953556302,0.21174636442788314,3.5323492728855768,매우 낮음
충청남도,홍동면,3398,38.084,9.7,18.5,18.5,89.22382102720302,0.19353551263094057,12.198707102526189,매우 낮음
충청남도,장곡면,2769,54.934,9.6,17.3,17.3,50.40594167546511,0.10933559725975167,11.551867119451952,매우 낮음
충청남도,은하면,2153,31.391,0.8,3.5,3.5,68.58653754260776,0.14877115270419566,2.019754230540839,매우 낮음
충청남도,결성면,1992,30.273,24.1,24.1,24.1,65.80120899811713,0.1427294927360664,19.308545898547216,매우 낮음
충청남도,서부면,3070,56.865,23.2,23.2,23.2,53.9875142882265,0.11710439132904375,18.58342087826581,매우 낮음
충청남도,갈산면,3385,54.361,9.8,23.5,23.5,62.26890601718144,0.13506756949277957,14.717013513898557,매우 낮음
충청남도,구항면,3401,36.791,20.5,20.5,20.5,92.44108613519612,0.2005140867917047,16.44010281735834,매우 낮음
충청남도,예산읍,31718,45.338,87.5,99.5,99.5,699.5897481141646,1.5174810826734868,76.3034962165347,보통
충청남도,삽교읍,15134,49.098,44.1,73.7,73.2,308.2406615340747,0.6686052419287145,50.11372104838575,낮음
충청남도,대술면,2472,60.563,9.5,18.9,18.9,40.81700047884021,0.08853621175135769,12.31770724235027,매우 낮음
충청남도,신양면,2947,61.929,31.4,31.5,29.5,47.58675257149316,0.10322049030558497,24.79064409806111,매우 낮음
충청남도,광시면,3015,55.027,48.6,53.2,53.2,54.79128427862685,0.11884784991822556,41.20376956998364,낮음
충청남도,대흥면,1736,35.756,5.0,28.3,28.3,48.551292090837904,0.10531267430062227,15.671062534860125,매우 낮음
충청남도,응봉면,2554,26.216,0.0,3.8,0.0,97.42142203234664,0.2113169402206722,1.1822633880441344,매우 낮음
충청남도,덕산면,6583,61.006,26.9,57.7,57.7,107.9074189423991,0.23406213050808128,36.96681242610161,매우 낮음
충청남도,봉산면,2515,35.166,0.0,0.0,0.0,71.51794346812262,0.15512966931996497,0.031025933863992994,매우 낮음
충청남도,고덕면,4833,44.809,61.8,61.8,61.8,107.85779642482538,0.2339544942371157,49.486790898847424,낮음
충청남도,신암면,3498,35.539,1.9,10.9,10.9,98.42708010917583,0.21349831453517554,6.062699662907034,매우 낮음
충청남도,오가면,4268,32.274,13.7,20.5,20.5,132.24267211997272,0.2868477615705473,14.417369552314108,매우 낮음
충청남도,태안읍,29749,91.956,45.6,81.4,81.4,323.5134194614816,0.7017334021076846,54.52034668042154,낮음
충청남도,안면읍,8396,95.641,48.2,69.2,69.2,87.78661870954924,0.1904180751114614,49.0980836150223,낮음
충청남도,고남면,2455,28.792,34.3,62.1,62.1,85.26674076132258,0.1849522043959631,41.3769904408792,낮음
충청남도,남면,4313,60.72,7.8,27.4,27.4,71.03096179183136,0.15407335669764216,16.070814671339527,매우 낮음
충청남도,근흥면,5869,55.222,14.1,37.4,37.4,106.28010575495271,0.23053232324004794,22.97610646464801,매우 낮음
충청남도,소원면,5406,69.324,11.7,37.4,37.4,77.98165137614679,0.169150107013333,22.24383002140267,매우 낮음
충청남도,원북면,4384,74.224,10.4,36.5,36.5,59.06445354602285,0.1281167872401558,21.39562335744803,매우 낮음
충청남도,이원면,2257,40.17,2.5,9.9,9.9,56.18620861339308,0.12187358220700578,5.724374716441401,매우 낮음
전라북도,중앙동,9690,1.295,91.1,100.0,100.0,7482.625482625483,16.230573202684756,80.57611464053694,높음
전라북도,풍남동,3864,2.017,90.0,100.0,99.9,1915.7164105106597,4.155383094954507,77.81107661899091,보통
전라북도,노송동,11130,2.081,100.0,100.0,100.0,5348.390197020663,11.601200515892542,82.3202401031785,높음
전라북도,완산동,5218,1.0,82.1,100.0,100.0,5218.0,11.318370960602035,76.8936741921204,보통
전라북도,동서학동,6134,15.64,88.0,100.0,99.8,392.19948849104856,0.8507204486968295,76.53014408973937,보통
전라북도,서서학동,8346,2.97,89.0,100.0,100.0,2810.1010101010097,6.095393957279747,77.91907879145595,보통
전라북도,중화산1동,13903,1.22,88.0,100.0,100.0,11395.901639344262,24.71886588436781,81.34377317687357,높음
전라북도,중화산2동,19969,1.73,88.6,100.0,100.0,11542.774566473989,25.037448152156948,81.58748963043139,높음
전라북도,서신동,37973,2.39,87.5,100.0,100.0,15888.284518828452,34.46329975310288,83.14265995062058,높음
전라북도,평화1동,11863,1.49,88.1,100.0,100.0,7961.744966442953,17.26983193252345,79.88396638650468,보통
전라북도,평화2동,41564,15.26,86.0,100.0,100.0,2723.7221494102228,5.908029452018632,76.98160589040373,보통
전라북도,삼천1동,10950,1.76,84.0,100.0,100.0,6221.590909090909,13.495261378727514,77.8990522757455,보통
전라북도,삼천2동,11176,0.96,88.1,100.0,100.0,11641.666666666668,25.251955142393392,81.48039102847866,높음
전라북도,삼천3동,21356,26.63,67.6,97.0,96.8,801.952684941795,1.7395166694177935,69.08790333388356,보통
전라북도,효자1동,12943,0.86,84.1,100.0,100.0,15050.0,32.64497565294378,81.75899513058874,높음
