시도명,시군구명,읍면동명,아동인구수,고령자인구수,총인구,외국인,장애인인구수,행정동코드,아동인구수_pct,고령자인구수_pct,외국인_pct,장애인_pct,사회취약지수
전라북도,완주군,상관면,306,1298,4449,483,8181,4571032000,6.877950101146325,29.17509552708474,10.856372218476062,0.3109043398156692,49.9657372406815
전라북도,완주군,이서면,2018,2471,15108,275,8181,4571033000,13.357161768599418,16.355573206248344,1.820227693936987,0.3109043398156692,29.60003014167546
전라북도,완주군,소양면,271,2322,5538,116,8181,4571034000,4.89346334416757,41.9284940411701,2.094618996027447,0.3109043398156692,65.93285928230014
전라북도,완주군,구이면,216,1967,5114,39,8181,4571035000,4.22369964802503,38.463042628079776,0.7626124364489636,0.3109043398156692,57.211267448485025
전라북도,완주군,고산면,268,1575,4185,123,8181,4571036000,6.403823178016727,37.634408602150536,2.9390681003584227,0.3109043398156692,60.556583640008846
전라북도,완주군,비봉면,65,775,1777,128,8181,4571037000,3.657850309510411,43.61283061339336,7.203151378728194,0.3109043398156692,70.53515724237471
전라북도,완주군,운주면,62,854,1829,45,8181,4571038000,3.389830508474576,46.69218151995626,2.460360852925096,0.3109043398156692,73.02433997649777
전라북도,완주군,화산면,177,989,2479,69,8181,4571039000,7.139975796692215,39.89511899959661,2.7833803953206937,0.3109043398156692,66.06620529723138
전라북도,완주군,동상면,35,397,969,9,8181,4571040000,3.611971104231166,40.97007223942208,0.9287925696594427,0.3109043398156692,61.21843204294821
전라북도,완주군,경천면,22,430,882,18,8181,4571041000,2.494331065759637,48.75283446712018,2.0408163265306123,0.3109043398156692,75.31729687845112
전라북도,진안군,진안읍,839,2919,9158,334,2713,4572025000,9.161388949552304,31.873771565844073,3.647084516269928,0.10310273486369766,53.78424484058437
전라북도,진안군,용담면,16,394,778,12,2713,4572031000,2.056555269922879,50.6426735218509,1.5424164524421593,0.10310273486369766,77.4968356600447
전라북도,진안군,안천면,44,442,983,24,2713,4572032000,4.476093591047812,44.96439471007121,2.441505595116989,0.10310273486369766,70.93298076996982
전라북도,진안군,동향면,77,583,1301,63,2713,4572033000,5.918524212144504,44.811683320522675,4.842428900845504,0.10310273486369766,74.54379715686197
전라북도,진안군,상전면,36,327,734,26,2713,4572034000,4.904632152588556,44.550408719346045,3.5422343324250685,0.10310273486369766,71.53823642098645
전라북도,진안군,백운면,72,785,1801,75,2713,4572035000,3.997779011660189,43.586896168795114,4.16435313714603,0.10310273486369766,68.58681439805119
전라북도,진안군,성수면,71,734,1617,68,2713,4572036000,4.390847247990106,45.39270253555968,4.205318491032776,0.10310273486369766,72.77820564906455
전라북도,진안군,마령면,70,759,1660,133,2713,4572037000,4.216867469879518,45.72289156626506,8.012048192771084,0.10310273486369766,75.61691831072547
전라북도,진안군,부귀면,143,928,2482,53,2713,4572038000,5.7614826752618855,37.389202256244964,2.135374697824335,0.10310273486369766,58.03664957779756
전라북도,진안군,정천면,86,380,943,15,2713,4572039000,9.11983032873807,40.29692470837752,1.5906680805938493,0.10310273486369766,68.822072266333
전라북도,진안군,주천면,35,691,1398,76,2713,4572040000,2.503576537911302,49.427753934191706,5.436337625178827,0.10310273486369766,78.38619923223565
전라북도,무주군,무주읍,986,2490,9256,337,2348,4573025000,10.652549697493518,26.901469317199656,3.6408815903197924,0.08923155969773759,46.467588790724456
전라북도,무주군,무풍면,65,927,2431,485,2348,4573031000,2.6737967914438503,38.1324557795146,19.95063759769642,0.08923155969773759,66.0258374222626
전라북도,무주군,설천면,181,1311,3633,129,2348,4573032000,4.9821084503165425,36.085879438480596,3.5507844756399667,0.08923155969773759,55.11386513129618
전라북도,무주군,적상면,83,1203,2398,30,2348,4573033000,3.461217681401168,50.16680567139282,1.2510425354462051,0.08923155969773759,78.63179396341845
전라북도,무주군,안성면,153,1732,3920,204,2348,4573034000,3.903061224489796,44.183673469387756,5.204081632653061,0.08923155969773759,70.24273935530266
전라북도,무주군,부남면,29,664,1266,19,2348,4573035000,2.2906793048973144,52.44865718799369,1.5007898894154819,0.08923155969773759,81.34466094329062
전라북도,장수군,장수읍,692,2040,6760,340,2279,4574025000,10.236686390532544,30.17751479289941,5.029585798816568,0.08660933754307665,53.08421994567358
전라북도,장수군,산서면,93,849,1793,24,2279,4574031000,5.186837702175126,47.35080870050195,1.3385387618516453,0.08660933754307665,75.99267658656532
전라북도,장수군,번암면,83,997,2018,61,2279,4574032000,4.112983151635283,49.405351833498514,3.022794846382557,0.08660933754307665,79.35256048499298
전라북도,장수군,장계면,335,1367,4004,120,2279,4574033500,8.366633366633366,34.14085914085914,2.997002997002997,0.08660933754307665,56.45651234837273
전라북도,장수군,천천면,61,949,1927,65,2279,4574034000,3.1655422937208098,49.24753502854177,3.3731188375713548,0.08660933754307665,77.73111659904542
전라북도,장수군,계남면,100,803,1899,44,2279,4574035000,5.26592943654555,42.28541337546077,2.3170089520800423,0.08660933754307665,66.86944318288505
전라북도,장수군,계북면,62,655,1437,73,2279,4574036000,4.314544189283229,45.58107167710508,5.080027835768963,0.08660933754307665,73.55344192003169
전라북도,임실군,임실읍,900,1755,7043,177,3032,4575025000,12.77864546358086,24.91835865398268,2.513133607837569,0.11522576192655042,45.380308602043606
전라북도,임실군,청웅면,43,577,1145,34,3032,4575031000,3.755458515283843,50.393013100436676,2.96943231441048,0.11522576192655042,80.72948494748293
전라북도,임실군,운암면,40,585,1409,23,3032,4575032000,2.8388928317955995,41.51880766501065,1.6323633782824698,0.11522576192655042,61.04417055612223
전라북도,임실군,신평면,56,650,1334,51,3032,4575033000,4.197901049475263,48.7256371814093,3.823088455772114,0.11522576192655042,78.7497249347376
전라북도,임실군,성수면,41,672,1363,24,3032,4575034000,3.008070432868672,49.30300807043287,1.760821716801174,0.11522576192655042,76.59923578610471
전라북도,임실군,오수면,130,1413,3193,135,3032,4575035500,4.071406201064829,44.2530535546508,4.2279987472596305,0.11522576192655042,70.07608695048921
전라북도,임실군,신덕면,44,524,1133,20,3032,4575036000,3.8834951456310676,46.24889673433363,1.7652250661959399,0.11522576192655042,72.06405458798994
전라북도,임실군,삼계면,42,750,1343,42,3032,4575037000,3.1273268801191363,55.84512285927029,3.1273268801191363,0.11522576192655042,90.45393370495776
전라북도,임실군,관촌면,172,1173,2875,74,3032,4575038000,5.982608695652174,40.8,2.5739130434782607,0.11522576192655042,65.36789520654767
전라북도,임실군,강진면,37,587,1295,27,3032,4575039000,2.857142857142857,45.32818532818533,2.084942084942085,0.11522576192655042,68.80500215922865
전라북도,임실군,덕치면,33,488,1048,38,3032,4575040000,3.1488549618320607,46.56488549618321,3.6259541984732824,0.11522576192655042,72.69662646868707
전라북도,임실군,지사면,73,495,1094,40,3032,4575041000,6.6727605118829985,45.24680073126143,3.656307129798903,0.11522576192655042,75.87600643703898
전라북도,순창군,순창읍,1281,2413,10225,220,2802,4577025000,12.528117359413201,23.599022004889974,2.15158924205379,0.10648502141101393,42.14196941820022
전라북도,순창군,인계면,57,608,1383,64,2802,4577031000,4.121475054229935,43.96240057845264,4.6276211135213305,0.10648502141101393,69.83026891870627
전라북도,순창군,동계면,60,816,1694,42,2802,4577032000,3.541912632821724,48.17001180637544,2.479338842975207,0.10648502141101393,75.70353203027354
전라북도,순창군,적성면,62,546,1148,17,2802,4577038000,5.400696864111499,47.5609756097561,1.480836236933798,0.10648502141101393,76.88873970398149
전라북도,순창군,유등면,28,468,923,21,2802,4577039000,3.0335861321776814,50.70422535211267,2.275189599133261,0.10648502141101393,79.69099740648389
전라북도,순창군,풍산면,63,763,1588,107,2802,4577033000,3.9672544080604535,48.04785894206549,6.738035264483627,0.10648502141101393,78.9282872799961
