재난,발생시간,지점정보
호우주의보,2020-07-22 05:00,고흥(262)
호우주의보,2020-07-22 05:30,울산(152)
호우주의보,2020-07-22 07:00,수원(119)
호우주의보,2020-07-22 07:20,원주(114)
호우주의보,2020-07-22 09:00,철원(95)
호우주의보,2020-07-22 09:20,인천(112)
호우주의보,2020-07-22 10:00,원주(114)
호우주의보,2020-07-22 12:00,인천(112)
호우주의보,2020-07-23 09:00,군산(140)
호우주의보,2020-07-23 09:50,인천(112)
호우주의보,2020-07-23 11:10,여수(168)
호우주의보,2020-07-23 13:00,인천(112)
호우주의보,2020-07-23 14:00,창원(155)
호우주의보,2020-07-23 17:00,파주(99)
호우주의보,2020-07-23 18:00,동두천(98)
호우경보,2020-07-23 16:40,인천(112)
호우주의보,2020-07-23 18:00,상주(137)
호우경보,2020-07-23 17:30,인천(112)
호우주의보,2020-07-23 18:30,청주(131)
호우주의보,2020-07-23 19:30,임실(244)
호우주의보,2020-07-23 20:00,울산(152)
호우주의보,2020-07-23 20:30,제주(184)
호우경보,2020-07-23 20:50,산청(289)
호우주의보,2020-07-23 21:00,동해(106)
호우주의보,2020-07-23 21:30,울산(152)
호우주의보,2020-07-23 22:00,속초(90)
호우주의보,2020-07-23 22:30,춘천(101)
호우주의보,2020-07-23 23:30,울진(130)
호우주의보,2020-07-24 00:00,동두천(98)
호우주의보,2020-07-24 02:00,동두천(98)
호우주의보,2020-07-24 02:30,울릉도(115)
호우경보,2020-07-24 05:00,속초(90)
호우주의보,2020-07-24 09:30,동해(106)
호우주의보,2020-07-24 10:30,울릉도(115)
호우경보,2020-07-24 13:20,강릉(105)
호우주의보,2020-07-24 17:00,부산(159)
호우주의보,2020-07-24 23:00,속초(90)
호우주의보,2020-07-25 09:10,강릉(105)
호우주의보,2020-07-25 13:10,속초(90)
호우주의보,2020-07-27 09:00,제주(184)
호우주의보,2020-07-27 16:00,창원(155)
호우주의보,2020-07-27 15:00,제주(184)
호우경보,2020-07-27 15:15,제주(184)
호우주의보,2020-07-27 16:00,순천(174)
호우주의보,2020-07-27 16:20,울산(152)
호우주의보,2020-07-27 17:00,포항(138)
호우주의보,2020-07-27 18:00,완도(170)
호우주의보,2020-07-27 18:30,여수(168)
호우주의보,2020-07-27 21:00,포항(138)
호우주의보,2020-07-27 23:00,울산(152)
호우주의보,2020-07-28 03:30,여수(168)
호우주의보,2020-07-28 06:00,여수(168)
호우주의보,2020-07-28 15:30,남원(247)
호우주의보,2020-07-28 18:20,상주(137)
호우주의보,2020-07-28 18:50,흑산도(169)
호우주의보,2020-07-28 19:20,광주(156)
호우주의보,2020-07-28 19:50,대구(143)
호우주의보,2020-07-28 23:00,광주(156)
호우주의보,2020-07-29 00:00,대전(133)
호우주의보,2020-07-29 01:00,울릉도(115)
호우주의보,2020-07-29 03:30,서울(108)
호우주의보,2020-07-29 03:00,장수(248)
호우주의보,2020-07-29 03:30,부안(243)
호우주의보,2020-07-29 04:30,울릉도(115)
호우주의보,2020-07-29 05:00,영월(121)
호우주의보,2020-07-29 05:10,동두천(98)
호우주의보,2020-07-29 06:10,고창(172)
호우주의보,2020-07-29 06:30,춘천(101)
호우주의보,2020-07-29 06:50,임실(244)
호우주의보,2020-07-29 07:20,동두천(98)
호우주의보,2020-07-29 07:50,광주(156)
호우경보,2020-07-29 08:10,고창(172)
호우주의보,2020-07-29 09:10,광주(156)
호우주의보,2020-07-29 09:30,춘천(101)
호우주의보,2020-07-29 09:40,대전(133)
호우주의보,2020-07-29 11:00,영월(121)
호우주의보,2020-07-29 12:00,천안(232)
호우주의보,2020-07-29 12:10,순천(174)
호우주의보,2020-07-29 12:50,충주(127)
호우주의보,2020-07-29 14:00,대전(133)
호우주의보,2020-07-29 14:30,광주(156)
호우주의보,2020-07-29 15:10,보은(226)
호우주의보,2020-07-29 16:10,광주(156)
호우주의보,2020-07-29 17:00,군산(140)
호우주의보,2020-07-29 23:10,천안(232)
호우주의보,2020-07-29 23:50,천안(232)
호우주의보,2020-07-30 01:40,청주(131)
호우주의보,2020-07-30 03:10,대전(133)
호우주의보,2020-07-30 03:40,이천(203)
호우주의보,2020-07-30 04:10,대전(133)
호우경보,2020-07-30 04:20,군산(140)
호우주의보,2020-07-30 05:40,원주(114)
호우주의보,2020-07-30 06:50,금산(238)
호우주의보,2020-07-30 07:15,의성(278)
호우주의보,2020-07-30 08:30,충주(127)
호우주의보,2020-07-30 09:20,고창(172)
호우주의보,2020-07-30 09:50,청주(131)
호우주의보,2020-07-30 11:00,군산(140)
호우주의보,2020-07-30 11:20,대전(133)
호우주의보,2020-07-30 12:00,전주(146)
호우주의보,2020-07-30 12:10,제주(184)
호우주의보,2020-07-30 13:00,안동(136)
호우주의보,2020-07-30 14:00,대구(143)
호우주의보,2020-07-30 15:30,제주(184)
호우주의보,2020-07-30 15:40,여수(168)
호우주의보,2020-07-30 16:00,속초(90)
호우경보,2020-07-30 19:00,여수(168)
호우경보,2020-07-30 19:30,남해(295)
호우주의보,2020-07-30 20:30,순천(174)
호우경보,2020-07-30 21:00,여수(168)
